Date,open_price,high_price,low_price,close_price,vol,script,Resistance,Support,pivot_upper,pivot_lower,screener,screener_side,screener_implications,user_actions,next_10_high,next_10_low,win_buy,win_sell,Alert_Uturn,Trap_Alert_POSITION,pattern_identifier_trendbreak,data_interval,Alert_details,Price_Closer_Support,Price_Closer_Resistance
2025-11-21 14:01:00+05:30,1550.5,1550.5,1550.3,1550.4,9743,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:03:00+05:30,1550.4,1550.5,1550.1,1550.4,15830,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:05:00+05:30,1550.5,1550.5,1548.6,1549.6,34071,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:07:00+05:30,1549.8,1550.3,1549.7,1550.2,19726,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:09:00+05:30,1550.3,1551.0,1550.2,1550.9,17517,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:11:00+05:30,1550.9,1551.3,1550.8,1551.2,17976,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:13:00+05:30,1551.3,1551.7,1551.2,1551.2,21137,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:15:00+05:30,1551.3,1552.0,1551.2,1552.0,19540,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:17:00+05:30,1551.9,1552.0,1551.5,1551.6,16802,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:19:00+05:30,1551.6,1551.8,1551.0,1551.0,21566,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:21:00+05:30,1551.0,1551.9,1551.0,1551.7,25379,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:23:00+05:30,1551.9,1552.0,1551.7,1551.9,23883,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:25:00+05:30,1551.9,1552.0,1551.6,1551.7,15752,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:27:00+05:30,1551.7,1551.8,1551.3,1551.5,13137,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:29:00+05:30,1551.5,1552.0,1551.5,1552.0,16800,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:31:00+05:30,1551.9,1552.0,1551.7,1551.8,20106,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:33:00+05:30,1551.8,1552.9,1551.8,1552.7,33033,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:35:00+05:30,1552.6,1553.3,1552.6,1552.8,27096,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:37:00+05:30,1552.8,1553.6,1552.8,1553.3,26060,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:39:00+05:30,1553.1,1553.5,1550.4,1550.8,38434,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:41:00+05:30,1550.8,1551.8,1550.8,1550.8,32857,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:43:00+05:30,1550.9,1551.1,1550.0,1550.0,28838,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:45:00+05:30,1550.0,1551.3,1549.5,1551.0,39917,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:47:00+05:30,1551.3,1551.5,1549.5,1549.5,39737,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:49:00+05:30,1549.6,1549.6,1548.4,1549.0,36139,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:51:00+05:30,1549.0,1549.7,1548.6,1548.9,23856,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:53:00+05:30,1548.7,1549.0,1548.2,1548.2,29812,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:55:00+05:30,1548.3,1548.3,1547.1,1548.0,31811,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:57:00+05:30,1547.9,1548.0,1547.9,1547.9,27978,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 14:59:00+05:30,1547.9,1548.3,1547.4,1548.1,50087,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:01:00+05:30,1548.3,1548.6,1548.1,1548.2,51983,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:03:00+05:30,1548.2,1548.3,1547.3,1547.6,50256,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:05:00+05:30,1547.6,1547.7,1547.3,1547.4,58935,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:07:00+05:30,1547.4,1548.8,1547.2,1548.7,111955,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:09:00+05:30,1548.7,1548.7,1547.8,1548.1,56231,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:11:00+05:30,1548.0,1548.1,1547.5,1547.6,47307,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:13:00+05:30,1547.5,1548.0,1547.5,1548.0,78071,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:15:00+05:30,1547.9,1548.0,1547.7,1547.8,84604,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:17:00+05:30,1547.7,1547.8,1546.4,1546.4,72954,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:19:00+05:30,1546.5,1546.6,1545.3,1545.3,97334,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:21:00+05:30,1545.4,1546.2,1545.2,1546.1,96760,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 15:23:00+05:30,1546.1,1546.2,1544.0,1544.0,109707,RELIANCE,,,,,,,,,,,,,,,,,,,
